"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"316","miso maple ribs with roasted scallions","every day",195,"main","western","Non-vegetarian","<span style='color: #CD2626;'>baby back ribs</span>, <span style='color: #458B00;'>miso</span>, <span style='color: #458B00;'>maple syrup</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>vegetable oil</span>",5,1
"317","bacony baked pintos with the works","every day",197,"main","latin","Non-vegetarian","<span style='color: #CD2626;'>pinto beans</span>, <span style='color: #458B00;'>bacon</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>chili powder</span>, <span style='color: orange;'>vegetable stock</span> or <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>corn tortillas</span> or <span style='color: #CD2626;'>tortilla chips</span>, <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>lime</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>sour cream</span>",5,5
"318","lemon chicken with artichokes and orzo","Hero Dinners",18,"meal","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>artichoke hearts</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>orzo</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>parsley</span>",5,2
"319","deconstructed caesar salad","Hero Dinners",23,"meal","western","Non-vegetarian","<span style='color: #458B00;'>caesar dressing</span>, <span style='color: #CD2626;'>romaine hearts</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: orange;'>thyme</span> or <span style='color: #CD2626;'>baguette</span>, <span style='color: #458B00;'>parmesan</span>",5,3
"320","caesar dressing","Hero Dinners",23,"dressing","western","Non-vegetarian","<span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>worcestershire sauce</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"321","coriander crusted whole roast chicken","Hero Dinners",63,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>sweet potato</span> or <span style='color: #CD2626;'>beets</span> or <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #CD2626;'>rosemary</span>",5,3
"322","rosemary spatchcock chicken","Hero Dinners",66,"meal","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>rosemary</span>, <span style='color: #CD2626;'>baby potatoes</span>, <span style='color: #CD2626;'>asparagus</span>",5,4
"323","not your momma's sloppy joes","Hero Dinners",72,"main","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>red onion</span>, <span style='color: #CD2626;'>white mushrooms</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>ground turkey</span>, <span style='color: #458B00;'>ketchup</span>, <span style='color: #458B00;'>harissa</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>hamburger buns</span>",5,2
"324","duck breasts with cranberry red wine sauce","Hero Dinners",80,"main","western","Non-vegetarian","<span style='color: #458B00;'>duck breast</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>fingerling potatoes</span> or <span style='color: #CD2626;'>brussels sprouts</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>dried cranberries</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>red wine</span>, <span style='color: #CD2626;'>raspberry vinegar</span> or <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #458B00;'>butter</span>",1,0
"325","mango cabbage slaw","Hero Dinners",102,"side","latin","Vegan","<span style='color: #458B00;'>mango</span>, <span style='color: #CD2626;'>cabbage</span>, <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>sugar</span>",5,3
"326","ma po tofu","Hero Dinners",118,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>tofu</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>oyster sauce</span>, <span style='color: #458B00;'>chili-garlic sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>ground turkey</span> or <span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>white rice</span>",5,1
"327","pork chops with roasted grape relish","Hero Dinners",124,"main","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>brussels sprouts</span> or <span style='color: #CD2626;'>fingerling potatoes</span> or <span style='color: #CD2626;'>pork chop</span>, <span style='color: #CD2626;'>grapes</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>dried thyme</span>, <span style='color: #458B00;'>sherry wine</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>butter</span>",5,4
"328","roast pork loin with arugula parsley pesto","Hero Dinners",135,"meal","western","Non-vegetarian","<span style='color: #458B00;'>almonds</span>, <span style='color: #CD2626;'>arugula</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>dried basil</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #CD2626;'>pork loin</span>, <span style='color: #CD2626;'>fennel bulb</span> or <span style='color: #CD2626;'>baby potatoes</span> or <span style='color: orange;'>red onion</span>",5,6
"329","grapefruit and pistachio crusted salmon","Hero Dinners",155,"meal","western","Non-vegetarian","<span style='color: #458B00;'>pistachios</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #CD2626;'>grapefruit</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>couscous</span>, <span style='color: #458B00;'>chicken stock</span> or <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>spinach</span>, <span style='color: #CD2626;'>salmon</span>",5,3
"330","new england fish dinner","Hero Dinners",167,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>thyme</span>, <span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>cod</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>lemon</span>",5,4
"331","greek shrimp with feta","Hero Dinners",186,"meal","mediterranean","Non-vegetarian","<span style='color: #458B00;'>russet potato</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>broccoli</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>feta</span>",5,2
"332","skillet linguine with white clam sauce","Hero Dinners",198,"meal","mediterranean","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>dried basil</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #CD2626;'>canned baby clams</span>, <span style='color: #CD2626;'>clam juice</span>, <span style='color: orange;'>linguine</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>butter</span>",5,5
"333","chickpea sweet potato hash and eggs","Hero Dinners",211,"meal","western","Vegetarian","<span style='color: #458B00;'>sweet potato</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>canned chickpeas</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>smoked paprika</span>, <span style='color: #458B00;'>dried thyme</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>egg</span>",3,1
"334","cuban rice and beans","Hero Dinners",219,"meal","latin","Vegan","<span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>white rice</span>, <span style='color: #458B00;'>black beans</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>coriander</span>",1,0
"335","orzo with olives and feta","Hero Dinners",224,"meal","mediterranean","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>orzo</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #CD2626;'>kalamata olives</span>",5,3
"336","cacio e pepe with edamame and asparagus","Hero Dinners",228,"meal","mediterranean","Vegetarian","<span style='color: #458B00;'>spaghetti</span> or <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>edamame</span>, <span style='color: #CD2626;'>asparagus</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>parmesan</span>",5,1
"337","peanut cocunut noodles with tofu","Hero Dinners",234,"meal","asian","Vegan","<span style='color: #458B00;'>peanut butter</span>, <span style='color: #458B00;'>coconut milk</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>tofu</span>, <span style='color: #458B00;'>noodles</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>peas</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>peanuts</span>",1,0
"338","beer braised short ribs with wheat berries","Hungry Monkey",44,"main","western","Non-vegetarian","<span style='color: #458B00;'>short ribs</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: orange;'>wheat berries</span> or <span style='color: #458B00;'>green lentils</span>, <span style='color: #CD2626;'>porter beer</span>, <span style='color: #CDAD00;'>crushed tomatoes</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>parsley</span>",5,5
